owner,system,data,value,origin_utc
QLDC,SW,pipe length in kms,467,2024-09-10T02:51:24
QLDC,WW,pipe length in kms,693,2024-09-10T02:51:24
QLDC,WS,pipe length in kms,618,2024-09-10T02:51:24
QLDC,WW,territorial area in km2,60.8,2024-09-10T02:53:13
QLDC,SW,territorial area in km2,60.8,2024-09-10T02:53:13
QLDC,WS,territorial area in km2,77,2024-09-10T02:53:13
